Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction,pos_fraction + neg_fraction,p,sigma,B,x0,y0,z0,steps,dt
85,0.0,10000.010000171857,1.0,0.0,1.0,28,85,2.6666666666666665,1,0,0,1000000,0.01
86,0.0,10000.010000171857,1.0,0.0,1.0,28,86,2.6666666666666665,1,0,0,1000000,0.01
87,0.0,10000.010000171857,1.0,0.0,1.0,28,87,2.6666666666666665,1,0,0,1000000,0.01
88,0.0,10000.010000171857,1.0,0.0,1.0,28,88,2.6666666666666665,1,0,0,1000000,0.01
89,0.0,10000.010000171857,1.0,0.0,1.0,28,89,2.6666666666666665,1,0,0,1000000,0.01
90,0.0,10000.010000171857,1.0,0.0,1.0,28,90,2.6666666666666665,1,0,0,1000000,0.01
91,0.0,10000.010000171857,1.0,0.0,1.0,28,91,2.6666666666666665,1,0,0,1000000,0.01
92,0.0,10000.010000171857,1.0,0.0,1.0,28,92,2.6666666666666665,1,0,0,1000000,0.01
93,0.0,10000.010000171857,1.0,0.0,1.0,28,93,2.6666666666666665,1,0,0,1000000,0.01
94,0.0,10000.010000171857,1.0,0.0,1.0,28,94,2.6666666666666665,1,0,0,1000000,0.01
95,0.0,10000.010000171857,1.0,0.0,1.0,28,95,2.6666666666666665,1,0,0,1000000,0.01
96,0.0,10000.010000171857,1.0,0.0,1.0,28,96,2.6666666666666665,1,0,0,1000000,0.01
97,0.0,10000.010000171857,1.0,0.0,1.0,28,97,2.6666666666666665,1,0,0,1000000,0.01
98,0.0,10000.010000171857,1.0,0.0,1.0,28,98,2.6666666666666665,1,0,0,1000000,0.01
99,0.0,10000.010000171857,1.0,0.0,1.0,28,99,2.6666666666666665,1,0,0,1000000,0.01
