Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction
28,2.504166667,1.662916667,0.399060094,0.600939906
29,1.975555556,1.728518519,0.466653335,0.533346665
30,2.970454545,1.506956522,0.346565343,0.653434657
31,2.21037037,1.493703704,0.403259674,0.596740326
32,1.851034483,1.544333333,0.463253675,0.536746325
33,1.583030303,1.405,0.477652235,0.522347765
34,1.917037037,1.723214286,0.482451755,0.517548245
35,1.319230769,1.245128205,0.485551445,0.514448555
36,1.691724138,1.698333333,0.509449055,0.490550945
37,1.406388889,1.371666667,0.493750625,0.506249375
38,1.474166667,1.303888889,0.469353065,0.530646935
39,1.653235294,1.251428571,0.437956204,0.562043796
