t,x,pos_flag,neg_flag
0.0,3,1,0
0.01,3.2205,1,0
0.02,3.4819210155099998,1,0
0.03,3.7850945271791727,1,0
0.04,4.131424235621227,1,0
0.05,4.522779058617644,1,0
0.060000000000000005,4.961376606235282,1,0
0.07,5.449646587787574,1,0
0.08,5.990061888808871,1,0
0.09,6.58492312577923,1,0
0.09999999999999999,7.236080669589323,1,0
0.10999999999999999,7.94457703861341,1,0
0.11999999999999998,8.710193236883647,1,0
0.12999999999999998,9.530886666812206,1,0
0.13999999999999999,10.402117969479066,1,0
0.15,11.316082417087319,1,0
0.16,12.260891257628586,1,0
0.17,13.219791459534738,1,0
0.18000000000000002,14.170566875144027,1,0
0.19000000000000003,15.085321314685558,1,0
0.20000000000000004,15.93088552216765,1,0
0.21000000000000005,16.67008567733628,1,0
0.22000000000000006,17.264026005605857,1,0
0.23000000000000007,17.675349329009205,1,0
0.24000000000000007,17.87216100642227,1,0
0.25000000000000006,17.83200553720793,1,0
0.26000000000000006,17.54509372666829,1,0
0.2700000000000001,17.016014201372837,1,0
0.2800000000000001,16.26347006563002,1,0
0.2900000000000001,15.318072783107999,1,0
0.3000000000000001,14.218711237942234,1,0
0.3100000000000001,13.008304496884262,1,0
0.3200000000000001,11.729757039012101,1,0
0.3300000000000001,10.422715610619532,1,0
0.34000000000000014,9.121409070355154,1,0
0.35000000000000014,7.853565247785996,1,0
0.36000000000000015,6.640213438053932,1,0
0.37000000000000016,5.496106696505561,1,0
0.38000000000000017,4.4305057226105,1,0
0.3900000000000002,3.448117229015439,1,0
0.4000000000000002,2.5500431495549134,1,0
0.4100000000000002,1.7346544363344445,1,0
0.4200000000000002,0.9983469929894261,1,0
0.4300000000000002,0.33616675334754065,1,0
0.4400000000000002,-0.25769150479761216,0,1
0.45000000000000023,-0.7894980057998157,0,1
0.46000000000000024,-1.265697412726895,0,1
0.47000000000000025,-1.6926965689319247,0,1
0.48000000000000026,-2.076714718211997,0,1
0.49000000000000027,-2.423682528225591,0,1
0.5000000000000002,-2.7391785231353176,0,1
0.5100000000000002,-3.028393655804214,0,1
0.5200000000000002,-3.2961165960454553,0,1
0.5300000000000002,-3.5467338505389634,0,1
0.5400000000000003,-3.784240079511694,0,1
0.5500000000000003,-4.012254971895039,0,1
0.5600000000000003,-4.234043825956198,0,1
0.5700000000000003,-4.452539595625648,0,1
0.5800000000000003,-4.6703646382060615,0,1
0.5900000000000003,-4.889850765732628,0,1
0.6000000000000003,-5.11305648409259,0,1
0.6100000000000003,-5.341780521581762,0,1
0.6200000000000003,-5.577570919897452,0,1
0.6300000000000003,-5.821729102333434,0,1
0.6400000000000003,-6.075308462512049,0,1
0.6500000000000004,-6.339107149193404,0,1
0.6600000000000004,-6.613654876403719,0,1
0.6700000000000004,-6.899193782419771,0,1
0.6800000000000004,-7.195653616048983,0,1
0.6900000000000004,-7.502621864029501,0,1
0.7000000000000004,-7.819309866882401,0,1
0.7100000000000004,-8.14451651415605,0,1
0.7200000000000004,-8.476591765016986,0,1
0.7300000000000004,-8.813402990581702,0,1
0.7400000000000004,-9.152307939146883,0,1
0.7500000000000004,-9.490138910362589,0,1
0.7600000000000005,-9.823203376032453,0,1
0.7700000000000005,-10.147306650027799,0,1
0.7800000000000005,-10.457802101979183,0,1
0.7900000000000005,-10.749673632210612,0,1
0.8000000000000005,-11.017653508303223,0,1
0.8100000000000005,-11.256376114661293,0,1
0.8200000000000005,-11.460564731994493,0,1
0.8300000000000005,-11.625244381985178,0,1
0.8400000000000005,-11.745969498697223,0,1
0.8500000000000005,-11.819051368871587,0,1
0.8600000000000005,-11.841767664834546,0,1
0.8700000000000006,-11.812535671154418,0,1
0.8800000000000006,-11.731032438696264,0,1
0.8900000000000006,-11.59824914837262,0,1
0.9000000000000006,-11.416473012752824,0,1
0.9100000000000006,-11.189197230157616,0,1
0.9200000000000006,-10.920966708389589,0,1
0.9300000000000006,-10.617173354969117,0,1
0.9400000000000006,-10.283818794592428,0,1
0.9500000000000006,-9.927263961313512,0,1
0.9600000000000006,-9.553984153817462,0,1
0.9700000000000006,-9.170345290919172,0,1
0.9800000000000006,-8.78241297661592,0,1
0.9900000000000007,-8.395801365557984,0,1
1.0000000000000007,-8.015564402477967,0,1
1.0100000000000007,-7.646128287958362,0,1
1.0200000000000007,-7.291261262983032,0,1
1.0300000000000007,-6.954075063826134,0,1
1.0400000000000007,-6.637051582565541,0,1
1.0500000000000007,-6.342088194377248,0,1
1.0600000000000007,-6.0705556669340694,0,1
1.0700000000000007,-5.823363345496228,0,1
1.0800000000000007,-5.601027238882659,0,1
1.0900000000000007,-5.4037375884993475,0,1
1.1000000000000008,-5.231423399212222,0,1
1.1100000000000008,-5.083812197269901,0,1
1.1200000000000008,-4.960483934391505,0,1
1.1300000000000008,-4.860918475314613,0,1
1.1400000000000008,-4.784536497233146,0,1
1.1500000000000008,-4.730733908711812,0,1
1.1600000000000008,-4.698910080407238,0,1
1.1700000000000008,-4.688490287818745,0,1
1.1800000000000008,-4.698942813459562,0,1
1.1900000000000008,-4.729791156287881,0,1
1.2000000000000008,-4.780621761668601,0,1
1.2100000000000009,-4.851087625075088,0,1
1.2200000000000009,-4.940908044839169,0,1
1.2300000000000009,-5.049864709708422,0,1
1.2400000000000009,-5.177794210970288,0,1
1.2500000000000009,-5.324576971165301,0,1
1.260000000000001,-5.490122486711377,0,1
1.270000000000001,-5.674350695521978,0,1
1.280000000000001,-5.877169209627699,0,1
1.290000000000001,-6.098446105549946,0,1
1.300000000000001,-6.337977952972771,0,1
