Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction,pos_fraction + neg_fraction,p,sigma,B,x0,y0,z0,steps,dt
12,0.0,10000.010000171857,1.0,0.0,1.0,12,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
13,0.0,10000.010000171857,1.0,0.0,1.0,13,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
13,0.0,10000.010000171857,1.0,0.0,1.0,13,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
13,0.0,10000.010000171857,1.0,0.0,1.0,13,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
13,0.0,10000.010000171857,1.0,0.0,1.0,13,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
13,0.0,10000.010000171857,1.0,0.0,1.0,13,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
13,0.0,10000.010000171857,1.0,0.0,1.0,13,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
14,9998.880000171857,1.1300000000000008,0.0001129998869981711,0.9998870001130019,1.0,14,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
14,9998.880000171857,1.1300000000000008,0.0001129998869981711,0.9998870001130019,1.0,14,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
14,9998.880000171857,1.1300000000000008,0.0001129998869981711,0.9998870001130019,1.0,14,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
14,9998.880000171857,1.1300000000000008,0.0001129998869981711,0.9998870001130019,1.0,14,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
14,9998.880000171857,1.1300000000000008,0.0001129998869981711,0.9998870001130019,1.0,14,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
14,9998.880000171857,1.1300000000000008,0.0001129998869981711,0.9998870001130019,1.0,14,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
15,9999.080000171856,0.9300000000000006,9.299990699849479e-05,0.9999070000930015,1.0,15,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
15,9999.080000171856,0.9300000000000006,9.299990699849479e-05,0.9999070000930015,1.0,15,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
15,9999.080000171856,0.9300000000000006,9.299990699849479e-05,0.9999070000930015,1.0,15,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
15,9999.080000171856,0.9300000000000006,9.299990699849479e-05,0.9999070000930015,1.0,15,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
15,9999.080000171856,0.9300000000000006,9.299990699849479e-05,0.9999070000930015,1.0,15,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
15,9999.080000171856,0.9300000000000006,9.299990699849479e-05,0.9999070000930015,1.0,15,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
16,9999.150000171856,0.8600000000000005,8.59999139986081e-05,0.9999140000860013,0.9999999999999999,16,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
16,9999.150000171856,0.8600000000000005,8.59999139986081e-05,0.9999140000860013,0.9999999999999999,16,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
16,9999.150000171856,0.8600000000000005,8.59999139986081e-05,0.9999140000860013,0.9999999999999999,16,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
16,9999.150000171856,0.8600000000000005,8.59999139986081e-05,0.9999140000860013,0.9999999999999999,16,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
16,9999.150000171856,0.8600000000000005,8.59999139986081e-05,0.9999140000860013,0.9999999999999999,16,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
16,9999.150000171856,0.8600000000000005,8.59999139986081e-05,0.9999140000860013,0.9999999999999999,16,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
17,9999.200000171857,0.8100000000000005,8.099991899868901e-05,0.9999190000810013,1.0,17,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
17,9999.200000171857,0.8100000000000005,8.099991899868901e-05,0.9999190000810013,1.0,17,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
17,9999.200000171857,0.8100000000000005,8.099991899868901e-05,0.9999190000810013,1.0,17,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
17,9999.200000171857,0.8100000000000005,8.099991899868901e-05,0.9999190000810013,1.0,17,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
17,9999.200000171857,0.8100000000000005,8.099991899868901e-05,0.9999190000810013,1.0,17,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
17,9999.200000171857,0.8100000000000005,8.099991899868901e-05,0.9999190000810013,1.0,17,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
18,9999.240000171856,0.7700000000000005,7.699992299875375e-05,0.9999230000770012,0.9999999999999999,18,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
18,9999.240000171856,0.7700000000000005,7.699992299875375e-05,0.9999230000770012,0.9999999999999999,18,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
18,9999.240000171856,0.7700000000000005,7.699992299875375e-05,0.9999230000770012,0.9999999999999999,18,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
18,9999.240000171856,0.7700000000000005,7.699992299875375e-05,0.9999230000770012,0.9999999999999999,18,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
18,9999.240000171856,0.7700000000000005,7.699992299875375e-05,0.9999230000770012,0.9999999999999999,18,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
18,9999.240000171856,0.7700000000000005,7.699992299875375e-05,0.9999230000770012,0.9999999999999999,18,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
19,9999.270000171857,0.7400000000000004,7.39999259988023e-05,0.9999260000740012,1.0,19,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
19,9999.270000171857,0.7400000000000004,7.39999259988023e-05,0.9999260000740012,1.0,19,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
